Price Date,Ashoknagar,Chhindwara,Dewas,Guna,Harda,Indore,Khandwa,Khargone,Mandsaur,Raisen,Rajgarh,Sagar,Sehore,Shajapur,Shivpuri,Tikamgarh,Ujjain,Vidisha
01-01-2012,12.82,10.21,0.89,12.82,2.46,0.54,4.46,1.11,1.5,9.99,5.85,11.02,1.55,2.61,23.52,18.46,0.39,5
01-02-2012,0,0.3,0,0,0,0,0,0,0,0,0,0.01,0,0,0.36,0.11,0,0
01-03-2012,0.08,0.26,0,0.08,0.01,0,0,0,0,0.57,0.01,0.4,0.01,0.01,0.13,0.17,0,0.18
01-04-2012,5.81,1.64,2.25,5.81,1.97,1.23,1.51,1.37,12.21,2.58,6.29,3.83,2.69,4.04,6.41,5.76,2.07,3.53
01-05-2012,4.22,4.25,19.99,4.22,13.19,22.16,11.37,19.36,18.41,4.25,8.55,3.97,12.31,10.32,7.28,4.79,22.27,6.19
01-06-2012,30.06,127.8,46.72,30.06,80.76,38.74,104.11,54.71,26.19,96.82,43.47,65.06,71.46,61.61,31.36,28.8,33.62,77.76
01-07-2012,353.56,483.93,370.47,353.56,406.39,328.4,402.57,293.92,254.72,472.57,343.71,420.78,392.49,369.16,271.06,317.75,336.14,417.42
01-08-2012,284.69,362.65,287.64,284.69,417.14,192.06,330.54,166.78,320.5,527.03,358.03,427.65,463.29,442.72,302.45,282.64,218.62,549.12
01-09-2012,100.01,259.45,217.89,100.01,186.45,254.05,229.52,233.68,202.21,106.99,114.8,100.17,142.79,118.17,126.15,114.67,254.93,89.35
01-10-2012,0.38,14.01,2.57,0.38,8.86,6.51,19.3,15.63,0.15,4.8,0.23,2.71,3.02,0.78,0.4,0.85,2.17,1.93
01-11-2012,0.04,7.37,0.01,0.04,0.77,0,1.46,0.01,0,1.06,0,0.34,0.18,0.02,0,0.04,0,0.3
01-12-2012,0.22,1.33,0.17,0.22,0.82,0.35,1.77,0.8,0,1.93,0.03,1.19,0.28,0.08,0.01,0.22,0.09,0.68
01-01-2013,2.96,9.93,1.1,2.96,5.37,1.38,10.94,3.04,0.82,1.28,1.29,1.89,1.91,0.87,7.07,4.68,0.41,1.15
01-02-2013,53.56,21.86,18.31,53.56,19.72,12.18,16.24,11.68,13.83,43.81,38.11,49.57,23.9,30.09,50.95,53.31,12.85,37.7
01-03-2013,16.46,19.14,11.23,16.46,14.12,6.96,11.65,5.7,5.06,25.04,15.61,22.18,16.01,16.65,7.69,13.32,7.43,21.09
