Price Date,Ashoknagar,Chhindwara,Dewas,Guna,Harda,Indore,Khandwa,Khargone,Mandsaur,Raisen,Rajgarh,Sagar,Sehore,Shajapur,Shivpuri,Tikamgarh,Ujjain,Vidisha
01-01-2012,27.33,28.94,28.94,27.33,30.46,30.18,31.43,31.61,27.5,28.62,28.87,28.15,29.08,29.11,27.19,27.21,29.03,28.51
01-02-2012,34.69,35.27,35.72,34.69,37,36.55,36.78,37.56,33.33,35.55,36,35.12,36.15,36.11,34.17,35.28,35.01,35.48
01-03-2012,39.26,39.26,39.65,39.26,40.94,40.67,40.89,41.61,39.58,39.67,40.18,39.54,40.08,39.94,39.73,40.07,39.46,39.3
01-04-2012,41.57,41.39,42.05,41.57,43.35,42.36,43.12,43.19,41.26,42.3,42.32,42.37,42.4,42.13,42.87,43.04,41.64,41.82
01-05-2012,45.05,43.57,43.99,45.05,45.94,43.93,45.46,44.68,44.4,45.26,45.57,45.37,45.04,45.02,46.46,46.24,42.99,44.71
01-06-2012,45.2,43.31,42.65,45.2,44.59,42.64,44.3,43.36,43.73,44.98,45.33,45.89,43.5,44.26,47.33,47.22,42.09,44.14
01-07-2012,42.99,32.65,37.73,42.99,36.87,36.37,34.77,35.41,41.51,38.73,41.57,41.65,37.78,38.65,45.46,45.15,36.84,38.27
01-08-2012,31.4,29.79,30.95,31.4,31.66,32.13,31.52,32.12,33.55,31.27,31.54,30.93,30.83,31.2,32.71,32.99,31.41,30.7
01-09-2012,31.9,29.35,30.86,31.9,31.76,31.84,31.56,32.22,30.62,31.43,31.76,31.58,31.08,31.52,32.16,33.15,30.9,31.44
01-10-2012,31.48,30.16,31.29,31.48,32.02,32.23,31.94,32.19,31.73,31.49,32.02,31.68,31.48,31.55,32.73,33.07,31.5,31.41
01-11-2012,29.29,29.79,30.45,29.29,32.09,31.86,31.97,32.58,29.03,29.82,29.99,29.12,30.92,30.19,30.27,29.73,30.31,29.81
01-12-2012,30.43,31.34,31.75,30.43,33.65,33.31,33.53,34.05,29.46,31.03,30.84,29.91,32.31,31.17,29.53,29.27,32.06,31.03
01-01-2013,29.55,31.61,31.69,29.55,33.01,32.53,33.59,33.53,29.07,31.26,30.84,30.67,31.98,31.51,29.9,30.74,31.33,30.97
01-02-2013,30.96,33.14,33.67,30.96,35.73,35.4,36,36.65,33.12,32.66,32.8,32.35,34.01,33.34,32.3,32.52,34.01,32.85
01-03-2013,36.58,38.44,37.43,36.58,39.29,38.48,39.41,39.43,36.47,37.73,37.65,37.33,38.02,37.46,38.37,38.37,37.08,37.12
01-04-2013,42.19,42.64,42.86,42.19,44.78,43.65,44.76,44.53,41.56,43.2,43,43.2,43.34,42.72,42.72,43.14,42.53,42.28
01-05-2013,45.6,45.13,45.33,45.6,47.32,45.41,47.09,45.98,45.15,46.51,46.33,46.4,46.18,45.8,46.96,46.93,44.44,45.85
01-06-2013,43.91,42.77,42.76,43.91,44.18,42.03,43.67,42.18,43.77,42.85,43.77,43.66,43.83,43.87,45.62,45.41,42.22,43.21
01-07-2013,32.5,30.79,31.9,32.5,33.1,31.48,32.52,31.86,33.9,32.19,32.8,32.51,32.58,32.03,35.9,33.91,31.02,32.44
01-08-2013,31.2,30.03,30.33,31.2,31.05,30.45,30.31,30.64,31.77,31.07,31.31,30.76,30.7,31.12,32.55,32.4,30.55,30.9
01-09-2013,31.48,30.08,31.55,31.48,32.33,32.87,31.71,33.07,32.44,31.5,31.84,31.23,31.63,31.6,32.08,32.01,32.01,31.56
01-10-2013,30.13,28.8,30.37,30.13,31.37,31.44,30.87,31.56,30.89,30.18,31,29.8,30.76,30.8,30.5,30.46,30.58,30.57
01-11-2013,28.65,28.51,28.98,28.65,31.39,28.83,30.85,29.45,28.53,29.34,29.44,28.9,30.37,29.76,29.67,29.53,27.98,29.51
01-12-2013,28.16,28.2,28.48,28.16,30.73,28.87,30.76,29.56,27.98,29.03,29.03,28.61,29.57,29.11,27.65,27.44,28.08,29.03
01-01-2014,26.33,27.5,28.19,26.33,31.01,29.37,31.23,30.73,26.51,28.01,28.08,27.36,28.93,28.29,24.75,25.62,28.08,27.71
01-02-2014,30.11,32.05,31.4,30.11,33.39,32.75,34.11,34.72,30.37,32.06,31.3,31.78,31.87,31.5,29.41,29.98,31.5,31.33
01-03-2014,38.19,39.34,39.69,38.19,40.89,39.95,40.69,40.75,38.37,39.31,39.81,39.01,40.15,39.87,37,37.48,38.97,39
01-04-2014,43.87,42.38,43.35,43.87,44.45,44.01,44.35,44.41,43.31,43.79,44.28,43.79,43.62,43.78,44.67,44.57,43.15,43.25
01-05-2014,45.48,43.98,44.98,45.48,46.56,44.76,45.83,45.31,45.48,46.12,46.25,46.19,45.78,45.78,47,46.89,44.19,45.34
01-06-2014,46.73,45.7,45.19,46.73,47.28,45.55,46.63,46.37,45.37,47.19,47.65,47.22,46.22,46.17,48.08,47.95,44.55,46.8
01-07-2014,41.85,38.83,40.45,41.85,41.61,39.9,41.06,40.42,41.34,40.96,41.03,41.35,41.11,40.86,44.66,44.23,39.67,40.89
