Price Date,Balasore,Bargarh,Dhenkanal,Ganjam,Kalahandi,Nayagarh
01-01-2012,30.36,28.22,29.78,29.51,30.98,30.37
01-02-2012,35.48,35.94,37.37,34.93,36.99,37.09
01-03-2012,40.18,40.23,41.26,37.15,40.58,40.3
01-04-2012,39.7,42.63,42.51,38.26,42.81,41.59
01-05-2012,41.19,46.19,44.35,38.19,44.82,42.47
01-06-2012,43.75,46.71,46.53,40.22,46.1,44.81
01-07-2012,32.49,33.14,32.8,31.68,31.71,32.03
01-08-2012,32.33,30.97,31.22,31.06,30.28,32
01-09-2012,32.4,31.65,32.41,30.89,30.43,31.21
01-10-2012,31.12,31.18,31.17,31.1,30.26,30.83
01-11-2012,29.26,28.66,28.48,28.4,28.82,28.59
01-12-2012,29.14,27.37,27.86,27.94,28.2,28.56
01-01-2013,29.58,28.96,29.4,28.82,30.12,29.05
01-02-2013,35.3,34.7,37.12,33.78,34.94,35.94
01-03-2013,39.91,40.46,41.62,37.94,40.92,41.07
01-04-2013,41.4,43.55,43.44,39.12,42.97,42.38
01-05-2013,41.86,46.69,45.42,40.65,46.7,44.69
01-06-2013,34.73,38.61,38.51,34.39,36.73,37.33
01-07-2013,33.4,35.07,33.58,33.19,32.76,33.18
01-08-2013,32.1,31.48,32.2,32.14,30.94,32.59
01-09-2013,32.01,31.51,31.49,31.8,31.19,32.33
01-10-2013,30.8,30.4,30.88,30.7,29.83,30.9
01-11-2013,29.28,28.11,28.56,28.17,27.52,28.23
01-12-2013,26.34,26.01,26.58,26.92,25.63,26.84
01-01-2014,27.95,26.51,27.88,27.18,27.77,27.4
01-02-2014,32.62,30.99,31.97,32.05,33.08,33.04
01-03-2014,40.9,40.5,41.51,38.09,40.78,41.03
01-04-2014,43.69,43.46,44.73,39.99,43.38,43.4
01-05-2014,43.54,45.44,45.52,39.72,43.88,42.83
01-06-2014,37.62,44.64,42.94,38.87,44.4,41.88
01-07-2014,32.89,36.87,33.4,34.08,38.55,34.4
01-08-2014,31.65,31.29,31.19,31.44,30.85,31.83
01-09-2014,32.83,31.63,31.99,32.13,30.6,32.18
01-10-2014,31.86,31.1,31.81,31.53,30.15,31.51
01-11-2014,29.52,28.78,29.24,28.67,28.64,28.93
01-12-2014,28.57,26.94,27.82,27.59,26.83,26.89
01-01-2015,28.19,28.81,29.15,28.73,29.73,29.11
01-02-2015,33.88,35.41,35.41,32.76,35.51,34.93
01-03-2015,37.2,39.38,39.11,35.7,39.62,38.16
01-04-2015,41.44,43.44,43.24,38.82,42.69,42.69
01-05-2015,42.11,47.12,44.64,39.92,46.04,42.89
01-06-2015,38.01,43.69,40.9,35.64,40.79,38.1
01-07-2015,32.77,33.83,33.44,32.76,32.05,33.73
01-08-2015,32.01,32.19,32.8,32,32.26,32.93
01-09-2015,32.73,31.4,31.73,31.82,30.99,31.96
01-10-2015,32.28,31.76,31.96,32.49,31.14,32.59
01-11-2015,30.94,29.38,30.33,29.67,28.1,29.67
01-12-2015,31.15,29.15,30.83,29.85,29.62,31.29
01-01-2016,33.44,32.5,33.87,31.84,33.31,33.73
01-02-2016,37.37,36.9,38.5,35.38,37.35,37.69
01-03-2016,38.48,41.1,40.47,38.55,41.37,40.83
01-04-2016,44.66,46.04,46.37,40.09,45.52,45.09
01-05-2016,42.53,45.62,44.78,39.44,44.76,44.13
01-06-2016,37.82,42.97,39.36,34.75,43.03,37.86
01-07-2016,32.97,37.05,32.97,32.45,32.67,32.69
01-08-2016,32.05,32.21,32.04,32.37,31.71,32.82
01-09-2016,31.98,31.35,31.09,31.46,30.78,31.09
01-10-2016,31.95,30.74,31.14,31.59,29.98,31.3
01-11-2016,28.88,28.68,29.06,28.97,27.43,29.12
01-12-2016,27.94,27.05,26.99,27.91,26.78,28.19
01-01-2017,28.83,30.59,30.76,29.73,30.7,31.1
01-02-2017,34.49,35.77,36.58,34.26,36.48,37.07
01-03-2017,38.51,43.47,41.66,36.29,43.32,40.63
01-04-2017,40.77,45.54,44.76,38.67,44.08,43.37
01-05-2017,40.51,46.64,44.53,38.69,45.95,43.34
01-06-2017,39.18,45.15,43.24,39.05,44.12,42.94
01-07-2017,33.69,34.49,33.96,32.96,33.69,34.33
01-08-2017,32.19,31.71,31.92,31.47,31.59,31.78
01-09-2017,32.58,32.03,31.77,32.13,31.23,32.29
01-10-2017,32.15,32.12,32.08,31.03,30.75,31.37
01-11-2017,28.83,28.75,28.75,28.47,27.73,29.05
01-12-2017,27.06,27.26,26.76,26.85,25.56,26.53
01-01-2018,29.19,30.02,29.17,29.56,30.07,29.69
01-02-2018,35.34,35.59,35.7,33.69,36.09,35.65
01-03-2018,39.2,41.19,39.96,36.3,41.48,39.38
01-04-2018,39.29,43.55,42.17,38.27,42.91,42.03
01-05-2018,39.89,44.8,43.06,37.26,44.63,41.64
01-06-2018,39.02,40.62,41.34,38.3,41.61,41.06
01-07-2018,33.36,34.08,33.25,32.55,35.62,33.3
01-08-2018,32.55,32.15,31.98,31.86,31.83,32.17
01-09-2018,31.85,32.02,31.98,31.44,30.8,31.87
01-10-2018,32.65,32.05,31.97,31.92,30.65,32.15
01-11-2018,30.56,30.04,29.6,30,29.55,30.41
01-12-2018,26.5,28.06,26.95,27.23,28.61,27.37
01-01-2019,28.68,29.25,29.27,27.43,30.57,28.95
01-02-2019,36.03,35.55,36.36,35.11,36.33,36.97
01-03-2019,38.04,41.27,40.74,37.09,42.08,41.01
01-04-2019,41.07,45.08,43.68,39.69,44.82,42.9
01-05-2019,40.51,45.96,44.05,37.59,44.83,42.45
01-06-2019,40.15,46.24,43.42,38.01,43.94,42.45
01-07-2019,34.3,33.82,34.12,33.75,32.8,34.61
01-08-2019,34.31,33.23,33.02,32.01,31.51,33.05
01-09-2019,31.83,31.71,31.89,31.01,31.33,31.75
01-10-2019,31.03,29.79,30.98,30.81,29.36,31.19
01-11-2019,28.74,28.79,29,29.21,28.07,28.98
01-12-2019,25.98,25.95,26.05,25.86,26.35,25.93
01-01-2020,26.44,27.27,27.71,29.88,30.32,30.82
01-02-2020,30.33,30.89,30.19,31.27,32.55,31.33
01-03-2020,36.92,36.26,37.51,35.88,36.94,37.85
01-04-2020,40.07,41.71,41.9,37.83,41.46,41.6
01-05-2020,38.27,45.01,41.91,38.55,45.06,41.44
01-06-2020,33.34,39.67,35.94,36.38,39.07,38.49
01-07-2020,33.01,33.03,33.52,32.69,33,33.65
01-08-2020,33,32.48,32.56,31.83,32.05,32.45
01-09-2020,31.94,32.05,31.8,31.88,31.7,32.23
01-10-2020,31.24,31.34,30.8,30.69,30.56,31.14
01-11-2020,30.25,29.05,29.52,29.67,28.75,29.75
01-12-2020,27.5,26.99,26.94,26.8,26.43,26.9
01-01-2021,30.1,29.89,28.99,30.08,30.59,30.55
01-02-2021,36.76,35.68,36.69,35.13,35.68,36.82
01-03-2021,42.87,42.12,43.27,39.93,42.15,43.35
01-04-2021,40.48,42.5,42.16,38.55,42.29,41.98
01-05-2021,38.14,41.58,39.98,37.99,41.19,40.99
01-06-2021,32.91,39.94,35.68,36.49,39.33,37.98
01-07-2021,32.08,33.99,32.57,32.87,34.65,32.76
01-08-2021,32.72,32.07,32.46,32.92,31.69,33.39
01-09-2021,31.12,32.24,31.41,30.99,31.3,31.66
01-10-2021,31.58,31.55,31.26,31.63,31.03,32
01-11-2021,29.09,29.01,29.24,28.8,29.47,29.61
01-12-2021,25.92,26.8,26.23,26.81,27.33,26.54
01-01-2022,25.36,26.49,25.82,26.2,28.47,26.4
01-02-2022,32.58,33.44,32.33,31.91,34.59,33.51
01-03-2022,38.9,42.04,40.43,36.21,42.73,39.83
01-04-2022,43.05,45.88,45.53,38.93,44.99,43.58
01-05-2022,40.25,45.08,43.09,38.69,44.15,41.94
01-06-2022,37.11,44.87,39.93,34.72,43.32,38.3
01-07-2022,32.6,33.35,32.63,32.3,33.2,33.05
01-08-2022,32.76,32.55,32.64,32.11,32.15,32.9
01-09-2022,31.76,31.01,30.89,31.28,30.83,31.53
01-10-2022,30.49,30.97,30.98,30.33,29.86,30.67
01-11-2022,28.66,27.82,28.71,28.47,26.78,28.57
01-12-2022,29.62,27.87,28.79,29.71,28.97,30.14
01-01-2023,31.37,30.52,31.68,30.08,31.64,31.44
01-02-2023,35.95,35.33,36.4,33.55,36.1,36.34
01-03-2023,36.48,37.33,38.11,34.83,37.47,36.9
01-04-2023,42.78,44.04,44.03,38.98,42.88,42.51
01-05-2023,40.76,44.01,43.69,38.94,43.36,43.08
01-06-2023,42.8,46.03,44.54,38.45,44.39,42.82
01-07-2023,33.18,33.48,33.5,33.79,36.45,34.41
01-08-2023,32.58,31.37,32.86,32.12,31.4,32.36
01-09-2023,32.15,31.59,32.12,31.23,31.47,32
01-10-2023,32.45,30.82,32.08,31.51,29.81,31.4
01-11-2023,30.02,28.72,29.56,29.53,29.04,29.67
01-12-2023,28.31,27.3,28.56,29.1,27.97,28.8
01-01-2024,27.67,26.17,29.16,28.41,29.33,29.4
01-02-2024,33.91,32.93,35.41,33.4,34.13,36.01
01-03-2024,39.36,39.12,40.63,37.12,40.83,40.38
01-04-2024,44.81,43.78,45.26,41.08,44.14,44.87
01-05-2024,43.62,46.93,45.23,40.83,46.35,45
01-06-2024,40.59,45.34,44.03,37.58,43.52,41.47
01-07-2024,33.71,34.09,33.23,32.14,32.62,32.25
01-08-2024,31.55,31.48,31.3,31.64,30.94,31.7
01-09-2024,32.25,31.85,32.01,31.51,31.38,31.44
01-10-2024,32.21,31.44,31.22,32.29,31.1,32.04
