Price Date,Balasore,Bargarh,Dhenkanal,Ganjam,Kalahandi,Nayagarh
01-01-2012,79.38,43.01,50.89,24.82,20.59,30.42
01-02-2012,5.35,6.77,3.89,0.44,1.18,1.16
01-03-2012,1.7,0.52,0.77,0.03,0.89,0.04
01-04-2012,104.62,38.17,74.7,74.84,64.66,76.04
01-05-2012,29.39,4.23,17.15,53.14,48.28,34.92
01-06-2012,182.91,239.29,211.41,186.87,196.04,206.68
01-07-2012,265.91,435.28,393.22,437.75,493.89,439.75
01-08-2012,231.45,596.34,321.41,214.97,423.27,255.22
01-09-2012,186.83,217.39,177.12,184.25,263.33,176.3
01-10-2012,50.44,43.46,54.51,59.22,35.56,57.03
01-11-2012,63.93,53.82,91.92,186.35,70.25,138.13
01-12-2012,23.42,4.93,7.87,0.63,0.7,1.66
01-01-2013,0.83,2.65,1.11,0.63,0.64,0.77
01-02-2013,8.94,16.29,9.19,3.57,5.5,5.04
01-03-2013,3.14,8.61,4.04,1.36,1.92,2.31
01-04-2013,83.38,80.43,65.84,48.23,63.97,50.91
01-05-2013,167.13,22.18,73.83,48.41,25.17,53.68
01-06-2013,281.92,207.74,253.25,212.19,299.57,239.14
01-07-2013,236.46,381.78,252.18,198.74,328.41,219.43
01-08-2013,374.84,340.17,233.62,137.09,237.67,153.06
01-09-2013,366.3,194.9,308.5,266.28,178.21,292.85
01-10-2013,619.1,261.69,491.75,619.38,244.18,560.63
01-11-2013,0.06,0.27,0.57,13.47,12.74,7.54
01-12-2013,0,0,0,0.13,0.02,0.04
01-01-2014,0.26,1.87,0.39,0.46,0.91,0.22
01-02-2014,58.07,40.62,38.98,16.61,19.8,22.91
01-03-2014,37.8,23.12,43.6,36.21,21.99,42.5
01-04-2014,21.45,19.89,12.55,7.89,28.13,8.29
01-05-2014,300.58,50.08,172.12,175.83,64.66,167.7
01-06-2014,217.47,128.96,149.57,99.51,117.02,114.18
01-07-2014,425.81,450.03,405.37,378.06,439.44,396.95
01-08-2014,441.85,330.34,337.32,262.87,273.83,282.31
01-09-2014,245.86,245.79,266.94,292.74,316.23,297.35
