Price Date,Ashoknagar,Chhindwara,Dewas,Guna,Harda,Indore,Khandwa,Khargone,Mandsaur,Raisen,Rajgarh,Sagar,Sehore,Shajapur,Shivpuri,Tikamgarh,Ujjain,Vidisha
01-01-2012,2256,2247.5,2292.5,2295,2121.666667,2324.666667,2285,2315,2281.25,2128.5,2317.25,2221.75,2225,2345.6,2280,2300,2351.5,2266.666667
01-02-2012,1175,2366,2446,2453,2234.666667,2466.666667,2351.333333,2306.5,2300,2150,2489,2261,2352,2640.833333,2427,2405,2418.6,2408.333333
01-03-2012,2700,2705,2775,2835,2552.333333,2832.5,2658.5,2700,2845,2610,2720,2725,2790,2070,2800,2711,2850,2768
01-04-2012,2995,3400,3278.333333,3328,3268,3315,3303,3401,3400,2585,3415,3000,3450,2767,3240,3325,3374.2,3263.25
01-05-2012,3200,3014,3275,3302,3140.5,3282.5,3100,3195.5,3206.666667,3400,3163.333333,3200,3361,2661.666667,3363,3125,3185,3291
01-06-2012,2316.666667,3640,3578.75,3495.25,3616.666667,3580,3752,3451,3518.333333,3508.25,3636.25,3319,3700.4,3529.714286,3662.5,3500,3752.25,3560.4
01-07-2012,4217.5,4400,4016.666667,4252.5,4235.666667,4283.333333,4129.5,4025,4280,4128,4163.333333,3908.5,4215.25,4307.25,4400,4100,4297.75,4109.5
01-08-2012,4200,4379,4175.25,4120,4210.333333,4090,4161,4025,4370,4110,4105.5,4164.5,3452.666667,4232.5,4000,3350,4360.666667,4180
01-09-2012,2950,2635,2952,2755,2797,2835,2351.333333,2651.5,2600,3140,2705,2870.333333,2844,2967.5,4016,3800,2987.833333,2805
01-10-2012,3015,2967.666667,3018.75,3070,3079.666667,3060.333333,3053.333333,2944,3078.333333,3065.666667,3072.5,3024,3137.2,3123.142857,3008,3050,3150.2,2884
01-11-2012,3026,3068,3106.25,3058.75,3076.666667,3088.333333,3130,3096,2986.666667,3057.333333,3092.5,3024.333333,3079.25,3096.5,3048.75,3065,3135.6,2993.75
01-12-2012,3118.666667,3051,3225,3100,3130,3140,3200,3138.666667,3218.333333,3071,3200,3087.666667,3103.333333,3213.142857,3171.666667,3140,3242.2,3070.25
01-01-2013,3116.5,3000,3150,3086.5,3029,3173.333333,3104.333333,3120.6,3175,3085,3137.333333,3040,3118.75,3154.125,3131.25,3101,3181.166667,3075
01-02-2013,3153.75,3120,3047.5,3115.333333,3106.666667,3190,3167.5,3126.333333,3200,3083.333333,3163.333333,3105.25,3166,3180.666667,3161.5,3143.5,3224.2,3104.5
01-03-2013,3500,3475,3200,3301,3445,3400,3328,3200,3425,3542.5,3480,3250,3472.5,1500,3497.5,3450,3531,3451
01-04-2013,3600,3748,3756.666667,3697.5,3758.333333,3520.333333,3804.5,3801,3710,3800,3600,3652.666667,3812.5,3843.75,3550,3755,3819.833333,3652.333333
01-05-2013,1750,3453,3313,3526.333333,3562.5,3513.666667,3665,3772,3727.5,3500,3587.5,3525,3596.5,3704.333333,3643,3617.5,3685.6,3688.5
01-06-2013,3200,3510,3443.333333,3461.666667,3493.333333,3453,3366,3577.5,3392.5,3715,3541.666667,3350,3525.666667,3428.666667,3450.75,3418,3461,3335
01-07-2013,2814,3250,3000,2180,3060,2915,3145,3060.5,3180,3050,2910,3050,3161.666667,3000,3220,2821.5,3180,3025.75
01-08-2013,3550,3201,3393.75,3165.5,3360,3426.666667,3515,3352.5,2517.5,3413,3395,3200,3265.5,3433.333333,3420,3350,3431.666667,3274.4
01-09-2013,3035.5,3223,3323.333333,3209.333333,3100,3149,3116.666667,3132.333333,3148.333333,3245,3200,3200,3183.333333,3168.857143,2813.333333,3021,3310.25,3178
01-10-2013,3155,3900,3610,3403.333333,3327,3450,3450,3298.666667,3412.5,3092.333333,3425,3375,3276.5,3450.285714,3071.666667,3150,3510.5,3366.666667
01-11-2013,3300,3455,3721.666667,3615,3403.333333,3700,3536.5,3728,3490,3625,3350,3350,3777,3558.571429,3346,3425,3726.5,3395
01-12-2013,3550,3400,3707.5,3300,3510,3850,3600,3436.5,3425,3500,3510,3675,3740,3630,3301,3326,3605,3232.5
01-01-2014,3435,3028,3550,3396.666667,3543.333333,3448.333333,3544.5,3443.25,3500,3450,3425,3356.5,3617,3638.714286,3397,3275,3703.5,3449
01-02-2014,3500,3401.5,3700,3690,3760.5,3713.333333,3682.5,3706.333333,3781.25,3500,3675,3550,3866.666667,3729.6,3503.5,3537.5,3819.5,3584.333333
01-03-2014,3650,3662,3900,3870,3783.333333,4100,3784,3925,3762.5,3700,3500,3600,3745.5,1550,3742.5,3600,3800,3645
01-04-2014,4000,3938,4412.5,4380,2873.333333,4511,3951,4307,4408.333333,4000,4350,3866.666667,4395,4340.125,4255,4261,4432.5,4260
01-05-2014,3960,3986.5,4200,4047.5,4085,4545,4100,3900,4075,4400,4075,3917.25,4245.5,4267,3950,3600,4290.6,3953.666667
01-06-2014,3550,3551.5,3963.333333,3450,3845,3911,3970,3945,4110,3800,4120,3440,3946.666667,4013.857143,3740.5,3600,3978.5,3670.333333
01-07-2014,3601,3885,3470,3442.5,3801.666667,3753.333333,3775,3814.75,3785,3667,3720.5,3497,3875,3810,3651,3250,3901.666667,3708
01-08-2014,2913,3570,3344,3490,3315,3290,2900,3600,3500,3430,3360,3335,3400,3487.333333,3226,3350,3526,3332
01-09-2014,2770,3200,2894,1480,3000,2850,3060,2771,3090,2929.5,3007.5,2871,3278.666667,2976.833333,2840,2650,3045.2,2955.666667
01-10-2014,2968.75,3097.5,2873.333333,3066.25,2843.333333,3003.666667,2950,3004,3000,2978.333333,3005.833333,2924.875,3010.666667,2944.5,2114.533333,3030,3026.857143,2933
01-11-2014,2950,2960,3018.25,3157.75,2935,3071.25,3075,2951,3050,2757,3082.5,3140,3029,3110.25,3126,3105,3109,3054.8
01-12-2014,3250,3160,2946.333333,3250,3123.333333,3207,3101.5,3262.5,3278.333333,3063.333333,3271.666667,3129,3195,3242.142857,3230,3383,3271.285714,3171
01-01-2015,3108,2886,3141.8,3156.666667,3120,3225,3055,3153.333333,3230,2900,3053,3038.714286,3245.333333,3156.4,3056.666667,3140,3264.25,2992.5
