Price Date,condvol,PREC,MAXTEMP
2012-02-01,0.10426303411092937,0.7799999999999999,37.56
2012-03-01,0.09726534702033784,1.91,41.61
2012-04-01,0.09663956050717526,70.99999999999999,43.35
2012-05-01,0.17741472204106593,197.1,46.46
2012-06-01,0.1979491784715842,1049.1100000000001,47.33
2012-07-01,0.11187101405464014,6588.6,45.46
2012-08-01,0.14197457100174085,6218.240000000001,33.55
2012-09-01,0.20874541661830048,2951.29,33.15
2012-10-01,0.12881360192264224,84.68,33.07
2012-11-01,0.09416028462275201,11.64,32.58
2012-12-01,0.09353138953913195,10.19,34.05
2013-01-01,0.0893769018819986,59.04999999999999,33.59
2013-02-01,0.09795126771185202,561.23,36.65
2013-03-01,0.09065541673386725,251.8,39.43
2013-04-01,0.09441877818624757,337.73,44.78
2013-05-01,0.11997998396008708,51.21000000000001,47.32
2013-06-01,0.15902846733302106,6140.76,45.62
2013-07-01,0.0982151271332533,9232.59,35.9
2013-08-01,0.09993009157731877,6909.18,32.55
2013-09-01,0.08011698171570632,1361.96,33.07
2013-10-01,0.10521133633461488,1399.03,31.56
2013-11-01,0.07256477080371639,33.96,31.39
2013-12-01,0.08970335172290486,137.9,30.76
2014-01-01,0.09208611845336673,614.1299999999999,31.23
2014-02-01,0.07971187517757597,692.01,34.72
2014-03-01,0.08012942427365201,168.65999999999997,40.89
2014-04-01,0.09966022330557565,113.40000000000002,44.67
2014-05-01,0.08853487154951956,122.69,47.0
2014-06-01,0.14117194123734386,533.25,48.08
2014-07-01,0.09071423176283391,6473.219999999999,44.66
2014-08-01,0.0834971892719336,4295.26,34.61
2014-09-01,0.0801520068488709,2783.2000000000003,33.33
2014-10-01,0.0693145428803492,254.71000000000004,35.3
2014-11-01,0.04588106203752549,22.0,33.69
2014-12-01,0.047496636368067204,492.91999999999996,33.23
2015-01-01,0.062158747288176816,673.8299999999999,28.9
2015-02-01,0.07590407665034661,150.23000000000002,37.04
2015-03-01,0.05396679130714825,982.25,41.17
2015-04-01,0.054222035535586854,236.13999999999996,45.11
2015-05-01,0.06396493318821919,153.75,47.65
2015-06-01,0.208001858000361,3461.6,46.19
2015-07-01,0.06663198462532595,8126.700000000001,39.54
2015-08-01,0.06349348264898193,5960.62,33.15
2015-09-01,0.053067874569915414,1027.33,35.02
2015-10-01,0.059492679744298324,146.69,37.22
2015-11-01,0.07235642535803635,2.08,35.08
2015-12-01,0.07782559325064295,10.55,34.87
2016-01-01,0.06583773513274677,180.12,35.18
2016-02-01,0.0697339633277378,14.860000000000001,37.45
2016-03-01,0.07093214383320802,110.93,42.47
2016-04-01,0.06709112487085914,0.6700000000000002,45.01
2016-05-01,0.07082752758173534,281.54,48.88
2016-06-01,0.09820842938636577,2175.69,46.99
2016-07-01,0.07268772984235473,9777.85,38.98
2016-08-01,0.0742599429912228,7839.490000000001,32.08
2016-09-01,0.0738965204985651,1511.9,32.93
2016-10-01,0.06154347903293995,699.1300000000001,32.28
2016-11-01,0.04644362922322106,0.0,32.04
